"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"","1829","audio-keyboard-response","64","97942","0.0-1.0-1.31","../audio/teste-vocab--111.mp3","s","jubilosa","rejwisans"
"","null","html-keyboard-response","65","98443","0.0-1.0-0.32","+","null","",""
"","1181","audio-keyboard-response","66","99783","0.0-1.0-1.32","../audio/teste-vocab--25.mp3","s","canguru","kanguwou"
"","null","html-keyboard-response","67","100284","0.0-1.0-0.33","+","null","",""
"","2072","audio-keyboard-response","68","102514","0.0-1.0-1.33","../audio/teste-vocab--109.mp3","s","anfíbio","anfibyen"
"","null","html-keyboard-response","69","103016","0.0-1.0-0.34","+","null","",""
"","1749","audio-keyboard-response","70","104895","0.0-1.0-1.34","../audio/teste-vocab--02.mp3","s","homem","gason"
"","null","html-keyboard-response","71","105397","0.0-1.0-0.35","+","null","",""
"","1301","audio-keyboard-response","72","106823","0.0-1.0-1.35","../audio/teste-vocab--07.mp3","s","abajur","lanp"
"","null","html-keyboard-response","73","107324","0.0-1.0-0.36","+","null","",""
"","1621","audio-keyboard-response","74","109039","0.0-1.0-1.36","../audio/teste-vocab--87.mp3","s","ave","zwazo"
"","null","html-keyboard-response","75","109540","0.0-1.0-0.37","+","null","",""
"","1451","audio-keyboard-response","76","111135","0.0-1.0-1.37","../audio/teste-vocab--46.mp3","s","ombro","zepòl"
"","null","html-keyboard-response","77","111637","0.0-1.0-0.38","+","null","",""
"","1448","audio-keyboard-response","78","113283","0.0-1.0-1.38","../audio/teste-vocab--129.mp3","s","elipse","elips"
"","null","html-keyboard-response","79","113784","0.0-1.0-0.39","+","null","",""
"","1720","audio-keyboard-response","80","115657","0.0-1.0-1.39","../audio/teste-vocab--98.mp3","s","instruir","enstwi"
"","null","html-keyboard-response","81","116158","0.0-1.0-0.40","+","null","",""
"","1800","audio-keyboard-response","82","118165","0.0-1.0-1.40","../audio/teste-vocab--38.mp3","s","cerimônia","seremoni"
"","null","html-keyboard-response","83","118667","0.0-1.0-0.41","+","null","",""
"","1291","audio-keyboard-response","84","120093","0.0-1.0-1.41","../audio/teste-vocab--13.mp3","s","ambulância","anbilans"
"","null","html-keyboard-response","85","120595","0.0-1.0-0.42","+","null","",""
"","1109","audio-keyboard-response","86","121841","0.0-1.0-1.42","../audio/teste-vocab--19.mp3","s","hora","è"
"","null","html-keyboard-response","87","122343","0.0-1.0-0.43","+","null","",""
"","1429","audio-keyboard-response","88","123860","0.0-1.0-1.43","../audio/teste-vocab--79.mp3","s","moldura"," chanbranl"
"","null","html-keyboard-response","89","124362","0.0-1.0-0.44","+","null","",""
"","1589","audio-keyboard-response","90","126096","0.0-1.0-1.44","../audio/teste-vocab--78.mp3","s","quarteto","qwatèt"
"","null","html-keyboard-response","91","126598","0.0-1.0-0.45","+","null","",""
"","1459","audio-keyboard-response","92","128172","0.0-1.0-1.45","../audio/teste-vocab--73.mp3","s","ângulo","ang"
"","null","html-keyboard-response","93","128674","0.0-1.0-0.46","+","null","",""
"","1760","audio-keyboard-response","94","130572","0.0-1.0-1.46","../audio/teste-vocab--114.mp3","s","fragmentar","dechire"
"","null","html-keyboard-response","95","131074","0.0-1.0-0.47","+","null","",""
"","1280","audio-keyboard-response","96","132519","0.0-1.0-1.47","../audio/teste-vocab--103.mp3","s","utensílio","istansil"
"","null","html-keyboard-response","97","133020","0.0-1.0-0.48","+","null","",""
"","1539","audio-keyboard-response","98","134653","0.0-1.0-1.48","../audio/teste-vocab--55.mp3","s","bosque","forè"
"","null","html-keyboard-response","99","135154","0.0-1.0-0.49","+","null","",""
"","1432","audio-keyboard-response","100","136710","0.0-1.0-1.49","../audio/teste-vocab--36.mp3","s","grupo","gwoup"
"","null","html-keyboard-response","101","137211","0.0-1.0-0.50","+","null","",""
"","1509","audio-keyboard-response","102","138894","0.0-1.0-1.50","../audio/teste-vocab--17.mp3","s","móvel","mobil"
"","null","html-keyboard-response","103","139395","0.0-1.0-0.51","+","null","",""
"","1811","audio-keyboard-response","104","141351","0.0-1.0-1.51","../audio/teste-vocab--94.mp3","s","paralelo","paralèl"
"","null","html-keyboard-response","105","141853","0.0-1.0-0.52","+","null","",""
"","1379","audio-keyboard-response","106","143365","0.0-1.0-1.52","../audio/teste-vocab--10.mp3","s","corneta","kòn"
"","null","html-keyboard-response","107","143867","0.0-1.0-0.53","+","null","",""
"","1600","audio-keyboard-response","108","145550","0.0-1.0-1.53","../audio/teste-vocab--06.mp3","s","barco","bato"
"","null","html-keyboard-response","109","146052","0.0-1.0-0.54","+","null","",""
"","1781","audio-keyboard-response","110","147985","0.0-1.0-1.54","../audio/teste-vocab--72.mp3","s","ilha","zile"
"","null","html-keyboard-response","111","148487","0.0-1.0-0.55","+","null","",""
