"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"","2120","audio-keyboard-response","102","180756","0.0-1.0-1.50","../audio/teste-vocab--50.mp3","s","artista","atis"
"","null","html-keyboard-response","103","181269","0.0-1.0-0.51","+","null","",""
"","1648","audio-keyboard-response","104","183169","0.0-1.0-1.51","../audio/teste-vocab--33.mp3","s","uniforme","inifòm"
"","null","html-keyboard-response","105","183682","0.0-1.0-0.52","+","null","",""
"","2339","audio-keyboard-response","106","186307","0.0-1.0-1.52","../audio/teste-vocab--85.mp3","n","trio","trio"
"","null","html-keyboard-response","107","186813","0.0-1.0-0.53","+","null","",""
"","2160","audio-keyboard-response","108","189286","0.0-1.0-1.53","../audio/teste-vocab--25.mp3","s","canguru","kanguwou"
"","null","html-keyboard-response","109","189788","0.0-1.0-0.54","+","null","",""
"","2611","audio-keyboard-response","110","192673","0.0-1.0-1.54","../audio/teste-vocab--51.mp3","s","recolher","kolekte"
"","null","html-keyboard-response","111","193178","0.0-1.0-0.55","+","null","",""
"","1851","audio-keyboard-response","112","195274","0.0-1.0-1.55","../audio/teste-vocab--11.mp3","s","joelho","jenou"
"","null","html-keyboard-response","113","195783","0.0-1.0-0.56","+","null","",""
"","1611","audio-keyboard-response","114","197639","0.0-1.0-1.56","../audio/teste-vocab--54.mp3","s","arbusto","raje"
"","null","html-keyboard-response","115","198150","0.0-1.0-0.57","+","null","",""
"","1269","audio-keyboard-response","116","199705","0.0-1.0-1.57","../audio/teste-vocab--59.mp3","s","par","pè"
"","null","html-keyboard-response","117","200212","0.0-1.0-0.58","+","null","",""
"","1669","audio-keyboard-response","118","202031","0.0-1.0-1.58","../audio/teste-vocab--84.mp3","s","confiar","konfye"
"","null","html-keyboard-response","119","202534","0.0-1.0-0.59","+","null","",""
"","2600","audio-keyboard-response","120","205725","0.0-1.0-1.59","../audio/teste-vocab--56.mp3","s","agricultura","agrikilti"
"","null","html-keyboard-response","121","206233","0.0-1.0-0.60","+","null","",""
"","2139","audio-keyboard-response","122","208530","0.0-1.0-1.60","../audio/teste-vocab--63.mp3","s","transparente","transparan"
"","null","html-keyboard-response","123","209032","0.0-1.0-0.61","+","null","",""
"","2299","audio-keyboard-response","124","211693","0.0-1.0-1.61","../audio/teste-vocab--123.mp3","s","emissão","emisyon"
"","null","html-keyboard-response","125","212201","0.0-1.0-0.62","+","null","",""
"","2120","audio-keyboard-response","126","214627","0.0-1.0-1.62","../audio/teste-vocab--120.mp3","s","induzir","pwovoke"
"","null","html-keyboard-response","127","215140","0.0-1.0-0.63","+","null","",""
"","1952","audio-keyboard-response","128","217401","0.0-1.0-1.63","../audio/teste-vocab--49.mp3","s","humano","moun"
"","null","html-keyboard-response","129","217902","0.0-1.0-0.64","+","null","",""
"","1992","audio-keyboard-response","130","220159","0.0-1.0-1.64","../audio/teste-vocab--119.mp3","s","numeroso","anpil"
"","null","html-keyboard-response","131","220671","0.0-1.0-0.65","+","null","",""
"","1640","audio-keyboard-response","132","222758","0.0-1.0-1.65","../audio/teste-vocab--81.mp3","s","judicial","jidisyè"
"","null","html-keyboard-response","133","223263","0.0-1.0-0.66","+","null","",""
"","2851","audio-keyboard-response","134","226559","0.0-1.0-1.66","../audio/teste-vocab--52.mp3","s","construção","konstriksyon"
"","null","html-keyboard-response","135","227063","0.0-1.0-0.67","+","null","",""
"","2581","audio-keyboard-response","136","229911","0.0-1.0-1.67","../audio/teste-vocab--09.mp3","s","vela","bouji"
"","null","html-keyboard-response","137","230427","0.0-1.0-0.68","+","null","",""
"","2331","audio-keyboard-response","138","233177","0.0-1.0-1.68","../audio/teste-vocab--125.mp3","s","lamaçal","labou"
"","null","html-keyboard-response","139","233679","0.0-1.0-0.69","+","null","",""
