"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"","1720","audio-keyboard-response","194","330190","0.0-1.0-1.96","../audio/teste-vocab--41.mp3","s","médico","doktè,"
"","null","html-keyboard-response","195","330695","0.0-1.0-0.97","+","null","",""
"","1651","audio-keyboard-response","196","332366","0.0-1.0-1.97","../audio/teste-vocab--77.mp3","s","comércio","komès"
"","null","html-keyboard-response","197","332878","0.0-1.0-0.98","+","null","",""
"","2179","audio-keyboard-response","198","335071","0.0-1.0-1.98","../audio/teste-vocab--25.mp3","s","canguru","kanguwou"
"","null","html-keyboard-response","199","335572","0.0-1.0-0.99","+","null","",""
"","1949","audio-keyboard-response","200","337550","0.0-1.0-1.99","../audio/teste-vocab--84.mp3","s","confiar","konfye"
"","null","html-keyboard-response","201","338055","0.0-1.0-0.100","+","null","",""
"","1920","audio-keyboard-response","202","340014","0.0-1.0-1.100","../audio/teste-vocab--44.mp3","s","premiar","rekonpanse"
"","null","html-keyboard-response","203","340530","0.0-1.0-0.101","+","null","",""
"","2221","audio-keyboard-response","204","342766","0.0-1.0-1.101","../audio/teste-vocab--75.mp3","s","carpinteiro","chapantye"
"","null","html-keyboard-response","205","343276","0.0-1.0-0.102","+","null","",""
"","1760","audio-keyboard-response","206","345054","0.0-1.0-1.102","../audio/teste-vocab--114.mp3","s","fragmentar","dechire"
"","null","html-keyboard-response","207","345560","0.0-1.0-0.103","+","null","",""
"","2520","audio-keyboard-response","208","348094","0.0-1.0-1.103","../audio/teste-vocab--79.mp3","s","moldura"," chanbranl"
"","null","html-keyboard-response","209","348596","0.0-1.0-0.104","+","null","",""
"","1219","audio-keyboard-response","210","349838","0.0-1.0-1.104","../audio/teste-vocab--108.mp3","s","moradia","kay"
"","null","html-keyboard-response","211","350345","0.0-1.0-0.105","+","null","",""
"","1219","audio-keyboard-response","212","351582","0.0-1.0-1.105","../audio/teste-vocab--10.mp3","s","corneta","kòn"
"","null","html-keyboard-response","213","352093","0.0-1.0-0.106","+","null","",""
