study,participant,age,arrivalBR,Pmagazines,Pnews,Pbooks,Emagazines,Enews,Ebooks,socialm,other,sexo,escolaridade,escolaridade mãe,escolaridade pai,país origem,línguas,começou a escutar crioulo h,começou a falar crioulo h,começou a ler crioulo h,começou a escrever crioulo h,começou a escutar português,começou a falar português,começou a ler português,começou a escrever português,começou a escutar francês,começou a falar francês,começou a ler francês,começou a escrever francês,começou a escutar espanhol,começou a falar espanhol,começou a ler espanhol,começou a escrever espanhol,começou a escutar inglês,começou a falar inglês,começou a ler inglês,começou a escrever inglês,tempo para escutar crioulo h,tempo para falar crioulo h,tempo para ler crioulo h,tempo para escrever crioulo h,tempo para escutar português,tempo para falar português,tempo para ler português,tempo para escrever português,tempo para escutar francês,tempo para falar francês,tempo para ler francês,tempo para escrever francês,tempo para escutar espanhol,tempo para falar espanhol,tempo para ler espanhol,tempo para escrever espanhol,tempo para escutar inglês,tempo para falar inglês,tempo para ler inglês,tempo para escrever inglês,país + de 3 meses,país + de 3 meses duração,país + de 3 meses língua,país + 3 meses espanhol freq,país + 3 meses francês freq,país + 3 meses italiano freq,país + 3 meses inglês freq,país + 3 meses crioulo freq,línguas imersão,línguas aula,línguas sozinho,crioulo h em casa,crioulo h com amigos,crioulo h na escola,crioulo h trabalho,crioulo h no pc,crioulo h em jogos online,português em casa,português com amigos,português na escola,português trabalho,português no pc,português em jogos online,francês em casa,francês com amigos,francês na escola,francês trabalho,francês no pc,francês em jogos online,espanhol em casa,espanhol com amigos,espanhol na escola,espanhol trabalho,espanhol no pc,espanhol em jogos online,inglês em casa,inglês com amigos,inglês na escola,inglês trabalho,inglês no pc,inglês em jogos online,habilidade línguas,habilidade crioulo h escutar,habilidade crioulo h falar,habilidade crioulo h ler,habilidade crioulo h escrever,habilidade português escutar,habilidade português falar,habilidade português ler,habilidade português escrever,habilidade francês escutar,habilidade francês falar,habilidade francês ler,habilidade francês escrever,habilidade espanhol escutar,habilidade espanhol falar,habilidade espanhol ler,habilidade espanhol escrever,habilidade inglês escutar,habilidade inglês falar ,habilidade inglês ler,habilidade inglês escrever,horas crioulo h tv,horas crioulo h rádio,horas crioulo h ler divertir,horas crioulo h ler trabalho,horas crioulo h escrever,horas crioulo h redes sociais,horas português tv,horas português rádio,horas português ler divertir,horas português ler trabalho,horas português escrever,horas português redes sociais,horas francês tv,horas francês rádio,horas francês ler divertir,horas francês ler trabalho,horas francês escrever,horas francês redes sociais,horas espanhol tv,horas espanhol rádio,horas espanhol ler divertir,horas espanhol ler trabalho,horas espanhol escrever,horas espanhol redes sociais,horas inglês tv,horas inglês rádio,horas inglês ler divertir,horas inglês ler trabalho,horas inglês escrever,horas inglês redes sociais,horas crioulo h família,horas crioulo h amigos,horas crioulo h trabalho,horas crioulo h escola,horas português família,horas português amigos,horas português trabalho,horas português escola,horas francês família,horas francês amigos,horas francês trabalho,horas francês escola,horas espanhol família,horas espanhol amigos,horas espanhol trabalho,horas espanhol escola,horas inglês família,horas inglês amigos,horas inglês trabalho,horas inglês escola,confortável escutar em casa,confortável falar em casa,confortável ler em casa,confortável escrever em casa,confortável escutar amigos,confortável falar amigos,confortável ler amigos,confortável escrever amigos,confortável escutar escola,confortável falar escola,confortável ler escola,confortável escrever escola,confortável escutar trabalho,confortável falar trabalho,confortável ler trabalho,confortável escrever trabalho,freq crioulo h pensar,freq crioulo h falar sozinho,freq crioulo h emoções,freq crioulo h sonhar,freq crioulo h matemática,freq crioulo h telefone,freq crioulo h rezar,freq português pensar,freq português falar sozinho,freq português emoções,freq português sonhar,freq português matemática,freq português telefone,freq português rezar,freq francês pensar,freq francês falar sozinho,freq francês emoções,freq francês sonhar,freq francês matemática,freq francês telefone,freq francês rezar,freq espanhol pensar,freq espanhol falar sozinho,freq espanhol emoções,freq espanhol sonhar,freq espanhol matemática,freq espanhol telefone,freq espanhol rezar,freq inglês pensar,freq inglês falar sozinho,freq inglês emoções,freq inglês sonhar,freq inglês matemática,freq inglês telefone,freq inglês rezar,dificuldade audição visão,corrigida ou não
study2,AOHU7,33,2013,2,5,4,2,5,4,5,,Masculino,Ensino médio,Ensino fundamental,Ensino médio,Haiti,"Crioulo haitiano, Português, Francês, Inglês",1,2,3,4,24,24,25,25,1,2,3,4,,,,,13,14,14,15,,,,,2,2,2,2,1,1,3,4,,,,,2,2,2,2,,,,,,,,,"Português, Crioulo haitiano","Francês, Inglês",,1,2,3,18,17,18,24,24,26,24,17,17,1,2,3,18,17,18,,,,,,,12,13,13,20,17,17,4,7,7,7,7,4,4,4,4,5,5,5,5,,,,,3,3,3,3,1,1,1,1,1,1,2,2,"0,5",2,1,1,2,2,"0,5",1,2,2,,,,,,,"0,5","0,5","0,5","0,5","0,5","0,5",1,1,1,1,"0,5","0,5","0,5","0,5","0,5",,,1,,,,,"0,5",,,"0,5",C,C,F,C,C,P,C,C,P,P,P,P,P,P,P,P,,,,,,,,2,3,4,2,6,3,2,2,4,3,3,3,3,3,,,,,,,,2,3,2,2,3,2,4,NÃO,NÃO
study2,WFJR9,47,2020,2,2,5,2,2,5,5,5,Feminino,Graduação,Graduação,Graduação,Haiti,"Crioulo haitiano, Francês","0,5",1,5,5,,,,,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crioulo haitiano, Francês",Português,1,3,3,,20,,45,45,45,45,45,45,3,3,3,,20,,,,,,,,,,,,,,4,6,7,6,6,5,3,5,5,5,5,6,6,,,,,,,,,2,5,1,3,4,1,4,2,1,2,2,1,3,5,1,1,3,1,,,,,,,,,,,,,12,1,2,7,1,1,2,2,1,1,2,2,,,,,,,,,C,C,C,C,C,C,,,P,P,P,P,P,P,,,,,,,,,,5,7,,2,4,7,,2,3,,2,2,3,,,,,,,,,,,,,,,,SIM,NÃO
study2,UU4LD,24,2019,,,,,,,,,Feminino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study2,G5OXP,36,2019,,,,,,,,,Feminino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study2,T0U1A,26,2019,4,2,2,4,2,4,4,5,Masculino,Ensino fundamental,Ensino fundamental,Ensino fundamental,Haiti,"Crioulo haitiano, Português, Francês, Espanhol",2,4,9,15,21,21,24,25,15,16,15,17,15,16,17,17,,,,,,,,,1,1,1,1,15,16,16,17,3,2,4,6,,,,,República Dominicana,60,Espanhol,5,,,,,"Espanhol, Português",,,2,4,11,15,,,24,24,,24,,,15,15,15,,16,,,16,,17,,,,,,,,,2,6,7,7,7,7,7,6,6,6,5,6,7,5,6,7,5,,,,,1,"0,5",,,,1,"0,5",,,,,,"0,5",,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,"C, P","C, P","C, F","C, F","C, F","C, P","C, F","C, F",C,"C, F","C, F","C, F",P,"C, P","C, F","C, F",,,,,,,,7,7,7,7,4,4,7,7,4,7,4,4,4,7,,,,,,,,,,,,,,,NÃO,NÃO
study2,ZDAAP,35,2018,4,4,4,4,4,4,4,,Masculino,Ensino médio,Educação infantil,Ensino fundamental,Haiti,"Crioulo haitiano, Português, Francês",Até 2 anos,,,,31,,,,De 2 a 5 anos,,,,,,,,,,,,De 1 a 2 anos,De 1 a 2 anos,De 4 a 6 anos,De 4 a 6 anos,De 1 a 2 anos,De 1 a 2 anos,De 1 a 2 anos,De 2 a 4 anos,De 2 a 4 anos,De 2 a 4 anos,Menos de 1 ano,De 4 a 6 anos,,,,,,,,,Não ,,,,,,,,Crioulo haitiano,"Crioulo haitiano, Francês","Crioulo haitiano, Francês",2 anos ,2 anos ,2 anos ,18 anos ,20 anos ,22 anos ,31,31,32,31,0,0,3,2 anos ,2anos,20 anos ,28 anos ,23,,,,,,,,,,,,,5,Excelente,Excelente,Excelente,Excelente,Boa,Razoável,Funcional,Razoável,Muito boa,Excelente,Excelente,Muito boa,,,,,,,,,De 1h a 3h,Menos de 1h,De 7h a 9h,Mais de 15h,,De 5h a 7h,De 1h a 3h,Menos de 1h,Menos de 1h,De 1h a 3h,,Menos de 1h,De 1h a 3h,Menos de 1h,Menos de 1h,De 1h a 3h,,De 1h a 3h,,,,,,,,,,,,,De 9h a 11h,De 11h a 13h,De 9h a 11h,,Menos de 1h,Menos de 1h,Menos de 1h,,De 1h a 3h,De 3h a 5h,De 7h a 9h,,,,,,,,,,"Crioulo haitiano, Francês","Crioulo haitiano, Francês","Crioulo haitiano, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Francês",Crioulo haitiano,"Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês",,,,,"Crioulo haitiano, Francês","Crioulo haitiano, Português","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês",Muito frequentemente,Muito frequentemente,Algumas vezes,Ocasionalmente,Ocasionalmente,Ocasionalmente,Algumas vezes,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,,,,,,,,,,,,,,,,
study2,YO81K,26,2020,1,1,1,1,1,3,5,,Feminino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study2,PO94X,37,2014,2,3,4,5,5,4,5,,Masculino,Graduação,Ensino fundamental,Ensino fundamental,Haiti,"Crioulo haitiano, Português, Francês, Inglês",Até 2 anos,,,,28,,,,De 2 a 5 anos,,,,De 15 a 18 anos,,,,Mais de 18 anos,,,,De 2 a 4 anos,De 2 a 4 anos,De 4 a 6 anos,De 6 a 8 anos,Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,De 1 a 2 anos,De 4 a 6 anos,De 4 a 6 anos,De 6 a 8 anos,De 4 a 6 anos,De 4 a 6 anos,De 4 a 6 anos,,,,,,Não ,2 meses,Espanhol,Ocasionalmente,,,,,"Crioulo haitiano, Português, Francês","Português, Inglês",Nenhuma ,3 anos,4,4,18,15,0,37,28,30,28,29,29,10,12,10,19,15,19,0,0,0,0,27,27,,,,,,,4,Excelente,Excelente,Excelente,Excelente,Muito boa,Muito boa,Muito boa,Muito boa,Excelente,Excelente,Excelente,Excelente,Ruim,Ruim,Razoável,Ruim,,,,,De 1h a 3h,Menos de 1h,Menos de 1h,Menos de 1h,,De 1h a 3h,De 1h a 3h,De 3h a 5h,De 3h a 5h,De 3h a 5h,,De 1h a 3h,De 3h a 5h,De 3h a 5h,De 1h a 3h,De 1h a 3h,,De 1h a 3h,Menos de 1h,Menos de 1h,Menos de 1h,Menos de 1h,,Menos de 1h,,,,,,,De 3h a 5h,De 3h a 5h,Menos de 1h,,Menos de 1h,De 1h a 3h,De 1h a 3h,,Menos de 1h,Menos de 1h,Menos de 1h,,Menos de 1h,Menos de 1h,Menos de 1h,,,,,,Crioulo haitiano,"Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês",,,,,"Português, Francês","Português, Francês","Crioulo haitiano, Português, Francês","Português, Francês",Muito frequentemente,Muito frequentemente,Muito frequentemente,Muito frequentemente,Muito frequentemente,Muito frequentemente,Muito frequentemente,Ocasionalmente,Ocasionalmente,Raramente,Ocasionalmente,Raramente,Algumas vezes,Raramente,Algumas vezes,Algumas vezes,Raramente,Algumas vezes,Algumas vezes,Algumas vezes,Ocasionalmente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,,,,,,,,,
study2,G1T3T,43,2011,5,5,4,5,5,5,5,,Masculino,Ensino médio,Ensino médio,Graduação,Haiti,"Crioulo haitiano, Português, Francês, Espanhol",1,1,2,2,38,38,38,38,1,1,2,2,8,8,8,12,,,,,4,4,4,4,,,,,4,4,4,4,4,12,12,12,,,,,República Dominicana,204,Espanhol,7,,,,,,"Português, Espanhol","Português, Espanhol",,,,,,,,38,38,38,38,38,2,,,,,,12,12,12,19,19,38,,,,,,,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,2,,2,10,,,,,,,,,,,,,,,,,,,,,14,14,14,14,18,18,18,18,16,16,16,16,14,14,14,14,,,,,P,P,F,F,F,C,F,F,P,P,F,F,P,P,F,F,7,,7,7,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,NÃO,NÃO
study2,GTQL6,37,2016,,,,,,,,,Masculino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study2,I4IIX,26,2021,2,1,5,4,1,2,5,,Feminino,Ensino médio,Ensino fundamental,Ensino médio,Haiti,"Crioulo haitiano, Português",Até 2 anos,,,,25 ans,,,,De 2 a 5 anos,,,,,,,,,,,,Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,De 1 a 2 anos,De 1 a 2 anos,De 1 a 2 anos,De 1 a 2 anos,Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,,,,,,,,,,,,,,,,,Português,"Português, Francês",Português,2 ans,3 ans,3 ans,20 ans,,,25 ans,26 ans,26 ans,26 ans,,25 ans,5 ans,5 ans,5 ans,18 ans,,16 ans,,,,,,,,,,,,,4,Excelente,Excelente,Excelente,Excelente,Boa,Boa,Boa,Boa,Muito boa,Muito boa,Muito boa,Muito boa,,,,,,,,,De 3h a 5h,De 3h a 5h,Mais de 15h,De 1h a 3h,,Mais de 15h,De 1h a 3h,Menos de 1h,Menos de 1h,De 1h a 3h,,De 1h a 3h,De 5h a 7h,De 1h a 3h,De 1h a 3h,Menos de 1h,,De 3h a 5h,,,,,,,,,,,,,De 5h a 7h,De 1h a 3h,De 1h a 3h,,Menos de 1h,Menos de 1h,Menos de 1h,,Menos de 1h,De 1h a 3h,De 7h a 9h,,,,,,,,,,"Crioulo haitiano, Francês","Crioulo haitiano, Francês",Crioulo haitiano,"Crioulo haitiano, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Francês",Crioulo haitiano,"Crioulo haitiano, Francês",,,,,"Crioulo haitiano, Português, Francês",Crioulo haitiano,Francês,Francês,Muito frequentemente,Frequentemente,Algumas vezes,Muito frequentemente,Frequentemente,Frequentemente,Muito frequentemente,Nunca,Nunca,Nunca,Nunca,Muito frequentemente,Muito frequentemente,Nunca,Raramente,Algumas vezes,Frequentemente,Raramente,Muito frequentemente,Muito frequentemente,Raramente,,,,,,,,,,,,,,,,
study2,XXHX3,28,2021,1,2,2,1,3,1,1,,Masculino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study2,SIW5Y,48,2018,,,,,,,,,Masculino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study2,TAUUF,33,2020,3,3,3,4,4,4,4,,Masculino,Ensino médio,Ensino fundamental,Ensino médio,Haiti,"Crioulo haitiano, Português, Francês, Inglês",Até 2 anos,,,,32,,,,Até 2 anos,,,,De 15 a 18 anos,,,,De 15 a 18 anos,,,,De 1 a 2 anos,Menos de 1 ano,,De 1 a 2 anos,Menos de 1 ano,Menos de 1 ano,1 mês ,Menos de 1 ano,De 2 a 4 anos,Menos de 1 ano,De 2 a 4 anos,De 4 a 6 anos,Mais de 8 anos,15,12,De 6 a 8 anos,,,,,Só posso ,3 dia,Espanhol,Nunca,Nunca,,Nunca,,"Crioulo haitiano, Português, Espanhol, Francês, Inglês","Português, Espanhol, Francês, Inglês",Português,1,3,3,20,12,12,32,32,33,32,32,32,1,3,3,22,8,8,18,18,18,18,,8,,,,,,,7,Muito boa,Muito boa,Muito boa,Muito boa,Funcional,Funcional,Funcional,Funcional,Excelente,Muito boa,Muito boa,Muito boa,Funcional,Funcional,Funcional,Funcional,,,,,Mais de 15h,Mais de 15h,Mais de 15h,Mais de 15h,,Menos de 1h,Menos de 1h,Menos de 1h,Menos de 1h,Mais de 15h,,Menos de 1h,Mais de 15h,De 5h a 7h,De 9h a 11h,De 13h a 15h,,De 5h a 7h,,,,Menos de 1h,,Menos de 1h,,,,,,,Mais de 15h,Mais de 15h,Mais de 15h,,De 1h a 3h,De 1h a 3h,Menos de 1h,,De 9h a 11h,Menos de 1h,Menos de 1h,,,,Menos de 1h,,,,,,Crioulo haitiano,Crioulo haitiano,Crioulo haitiano,Crioulo haitiano,Crioulo haitiano,Crioulo haitiano,Crioulo haitiano,Crioulo haitiano,,,,,"Crioulo haitiano, Português, Francês, Engles",Crioulo haitiano,Crioulo haitiano,Crioulo haitiano,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Ocasionalmente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,,,,,,,,,
study2,UG7BS,37,2016,4,3,5,3,2,4,5,,Feminino,Ensino médio,Ensino fundamental,Ensino fundamental,Haiti,"Crioulo haitiano, Francês",De 2 a 5 anos,,,,Mais de 18 anos,,,,De 8 a 11 anos,,,,Não ,,,,Não ,,,,De 2 a 4 anos,De 2 a 4 anos,De 4 a 6 anos,De 4 a 6 anos,De 2 a 4 anos,De 2 a 4 anos,De 4 a 6 anos,De 4 a 6 anos,De 2 a 4 anos,De 2 a 4 anos,De 4 a 6 anos,De 4 a 6 anos,Não ,Não ,Não ,Não ,,,,,Não ,Não ,Francês,,,,,Ocasionalmente,Crioulo haitiano,Francês,"Crioulo haitiano, Francês",2 anos ,5 anos ,5 anos ,18,10 ans,Não ,2016,2017,2017,2018,2017,Não ,10 anos ,15 anos ,9 anos ,18,Mais 18,Não ,Não ,Não ,Não ,Não ,Não ,Não ,,,,,,,5,Excelente,,Excelente,Excelente,Boa,Ruim,Boa,Ruim,Muito boa,Muito boa,Muito boa,Muito boa,Ruim,Ruim,Ruim,Ruim,,,,,De 1h a 3h,Menos de 1h,De 3h a 5h,De 1h a 3h,,De 1h a 3h,Menos de 1h,Menos de 1h,Menos de 1h,De 5h a 7h,,De 1h a 3h,,Menos de 1h,,,,,,,,,,,,,,,,,De 3h a 5h,De 1h a 3h,Menos de 1h,,Menos de 1h,Menos de 1h,De 5h a 7h,,De 1h a 3h,Menos de 1h,,,,,,,,,,,"Crioulo haitiano, Espanhol","Crioulo haitiano, Francês","Crioulo haitiano, Francês","Crioulo haitiano, Francês","Crioulo haitiano, Francês","Crioulo haitiano, Francês","Crioulo haitiano, Francês","Crioulo haitiano, Francês",,,,,Português,"Crioulo haitiano, Português",Português,Português,Sempre,Sempre,Frequentemente,Frequentemente,Muito frequentemente,Sempre,Algumas vezes,Raramente,Frequentemente,Algumas vezes,Algumas vezes,Raramente,Algumas vezes,Raramente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Algumas vezes,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,,,,,,,,,
study2,QIQMU,43,2015,3,3,3,4,3,3,5,,Masculino,Ensino fundamental,Ensino fundamental,Ensino fundamental,Haiti,"Crioulo haitiano, Português, Francês, Espanhol",3,5,8,10,35,35,35,35,11,15,16,16,20,22,23,23,,,,,,,,,1,2,1,1,4,4,2,2,2,3,2,1,,,,,República Dominicana,60,Espanhol,7,,,,,"Português, Espanhol","Português, Francês",,4,5,7,18,,,35,35,35,36,,,15,15,18,18,,,20,22,,22,,,,,,,,,6,7,7,7,7,6,6,6,6,6,6,6,6,7,6,6,6,,,,,,,,3,"0,5",3,2,,1,,1,1,,,,,,,,,,,,,,,,,,,5,2,5,,18,18,18,,,,,,,,,,,,,,C,C,C,C,P,P,P,C,,,,,P,P,P,C,,,,,,,,7,7,7,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,NÃO,NÃO
study2,KCKOS,30,2017,1,1,4,5,5,3,5,,Masculino,Ensino médio,Ensino fundamental,Ensino fundamental,Haiti,"Crioulo haitiano, Português, Francês",1,1,1,1,25,25,25,25,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Português,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,3,2,,3,3,3,6,8,3,5,3,,,,,1,,,,,,,,,,,,,2,3,,5,,5,8,5,2,3,,5,,,,,,,,,C,C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,7,7,3,3,7,7,6,2,7,2,3,4,3,4,,,,,,,,,,,,,,,NÃO,NÃO
study2,RYXE6,32,2017,1,1,3,5,3,3,5,5,Masculino,Ensino médio,Ensino fundamental,,Haiti,"Crioulo haitiano, Português, Francês, Inglês",1,2,7,8,27,28,29,30,3,2,7,8,,,,,14,15,16,17,,,,,1,1,2,2,3,4,4,4,,,,,4,4,4,4,,,,,,,,,"Crioulo haitiano, Português","Francês, Inglês",Português,1,12,7,18,18,,27,27,32,27,27,,3,12,8,24,24,,,,,,,,,18,14,,14,,4,6,6,5,5,4,3,3,3,5,5,6,5,,,,,3,3,4,4,3,1,2,,,,4,1,2,8,1,,1,,1,,,,,,,,,,1,,1,1,,,3,1,,,1,4,8,,,1,,,,,,,,1,1,,C,C,C,C,C,C,C,C,P,P,P,P,P,P,P,P,,,,,,,,3,4,2,2,3,5,3,4,3,2,2,4,4,4,,,,,,,,2,2,2,2,2,2,2,NÃO,NÃO
study2,XUEO6,18,2021,4,2,5,5,5,4,2,5,Feminino,Ensino médio,Ensino médio,Ensino médio,Haiti,"Crioulo haitiano, Português, Francês",2,2,4,4,18,17,18,18,10,10,5,5,,,,,,,,,,,,,1,1,1,1,5,5,5,5,,,,,,,,,,,,,,,,,"Crioulo haitiano, Português, Francês","Francês, Português","Crioulo haitiano, Português",1,1,2,,,,17,17,17,,17,17,,5,5,,,,,,,,,,,,,,,,3,7,6,6,7,4,2,7,4,6,5,7,6,,,,,,,,,,,,,,6,12,,12,12,12,6,6,,,,,1,,,,,,,,,,,,,10,20,,6,2,20,,6,,20,,,,,,,,,,,C,C,P,"C, P","C, P","C, P","C, P","C, P",P,P,P,P,,,,,,,,,,,,1,2,1,1,4,4,2,2,2,2,2,2,2,4,,,,,,,,,,,,,,,SIM,SIM
study2,D0HAF,35,2013,2,3,2,2,3,2,4,,Masculino,Graduação,Ensino fundamental,Ensino fundamental,Haiti,"Crioulo haitiano, Português, Espanhol, Francês, Inglês",Até 2 anos,,,,30anos,,,,De 8 a 11 anos,,,,De 11 a 15 anos,,,,De 8 a 11 anos,,,,De 1 a 2 anos,De 2 a 4 anos,De 4 a 6 anos,De 4 a 6 anos,Menos de 1 ano,De 1 a 2 anos,De 1 a 2 anos,De 1 a 2 anos,Mais de 8 anos,Mais de 8 anos,De 6 a 8 anos,De 6 a 8 anos,De 6 a 8 anos,Mais de 8 anos,Mais de 8 anos,Mais de 8 anos,,,,,,,,,,,,,Português,"Espanhol, Francês, Inglês",Português,Desde bebê ,Com 4anos,5anos,17anos,1999,No celular 18anos,26anos,26anos,30anos,26anos,26anos,26anos,7anos,8anos,6anos,18anos,18anos,,,11anos,8anos,,,27anos,,,,,,,7,Excelente,Excelente,Excelente,Excelente,Muito boa,Muito boa,Muito boa,Boa,Boa,Boa,Muito boa,Muito boa,Razoável,Razoável,Razoável,Razoável,,,,,De 3h a 5h,De 9h a 11h,De 3h a 5h,De 3h a 5h,,De 3h a 5h,De 1h a 3h,De 3h a 5h,De 1h a 3h,De 7h a 9h,,De 1h a 3h,De 1h a 3h,De 1h a 3h,Menos de 1h,Menos de 1h,,De 1h a 3h,Menos de 1h,Menos de 1h,Menos de 1h,,,,,,,,,,De 1h a 3h,De 1h a 3h,Menos de 1h,,De 1h a 3h,De 7h a 9h,De 7h a 9h,,Menos de 1h,Menos de 1h,,,,,,,,,,,"Crioulo haitiano, Português","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês",,,,,"Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês",Raramente,Ocasionalmente,Nunca,Sempre,Muito frequentemente,Sempre,Sempre,Frequentemente,Frequentemente,Ocasionalmente,Sempre,Muito frequentemente,Sempre,Sempre,Ocasionalmente,Ocasionalmente,Nunca,Sempre,Ocasionalmente,Sempre,Sempre,Raramente,Ocasionalmente,Nunca,Raramente,Raramente,Raramente,Raramente,,,,,,,,,
study2,IR1FT,52,2017,5,3,5,3,5,2,5,5,Feminino,Ensino médio,Ensino médio,Ensino fundamental,Haiti,"Crioulo haitiano, Português, Francês",1,"1,5",5,5,47,49,47,49,5,8,8,8,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,Português,"Português, Francês",,1,5,5,22,,,47,47,47,47,51,51,5,5,5,,,,,,,,,,,,,,,,6,7,7,7,7,6,6,7,6,7,7,7,7,,,,,,,,,,7,1,,"0,5",4,8,,13,13,13,5,4,,2,,,"0,5",,,,,,,,,,,,,5,5,,1,1,"0,5",,"0,5","0,5",,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,7,7,4,7,2,2,7,4,4,7,7,7,7,7,,,,,,,,,,,,,,,SIM,SIM
