"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","portuguese","kreyol"
"","null","html-keyboard-response","123","213420","0.0-1.0-0.61","+","null","",""
"","2061","audio-keyboard-response","124","215622","0.0-1.0-1.61","../audio/teste-vocab--18.mp3","s","abelha","myèl"
"","null","html-keyboard-response","125","216132","0.0-1.0-0.62","+","null","",""
"","2632","audio-keyboard-response","126","218914","0.0-1.0-1.62","../audio/teste-vocab--81.mp3","s","judicial","jidisyè"
"","null","html-keyboard-response","127","219427","0.0-1.0-0.63","+","null","",""
"","3861","audio-keyboard-response","128","223471","0.0-1.0-1.63","../audio/teste-vocab--105.mp3","n","cítrico","sitrik"
"","null","html-keyboard-response","129","223972","0.0-1.0-0.64","+","null","",""
"","2141","audio-keyboard-response","130","226308","0.0-1.0-1.64","../audio/teste-vocab--20.mp3","s","medir","mezire"
"","null","html-keyboard-response","131","226819","0.0-1.0-0.65","+","null","",""
"","2360","audio-keyboard-response","132","229299","0.0-1.0-1.65","../audio/teste-vocab--71.mp3","s","caule","tij"
"","null","html-keyboard-response","133","229810","0.0-1.0-0.66","+","null","",""
"","3501","audio-keyboard-response","134","233480","0.0-1.0-1.66","../audio/teste-vocab--37.mp3","s","músico","mizisyen"
"","null","html-keyboard-response","135","233983","0.0-1.0-0.67","+","null","",""
"","1840","audio-keyboard-response","136","235964","0.0-1.0-1.67","../audio/teste-vocab--26.mp3","s","cotovelo","koud"
"","null","html-keyboard-response","137","236471","0.0-1.0-0.68","+","null","",""
"","2651","audio-keyboard-response","138","239372","0.0-1.0-1.68","../audio/teste-vocab--11.mp3","s","joelho","jenou"
"","null","html-keyboard-response","139","239878","0.0-1.0-0.69","+","null","",""
"","2440","audio-keyboard-response","140","242463","0.0-1.0-1.69","../audio/teste-vocab--45.mp3","s","dentista","dantis"
"","null","html-keyboard-response","141","242964","0.0-1.0-0.70","+","null","",""
"","1760","audio-keyboard-response","142","244849","0.0-1.0-1.70","../audio/teste-vocab--34.mp3","s","tronco","twon"
"","null","html-keyboard-response","143","245352","0.0-1.0-0.71","+","null","",""
"","2379","audio-keyboard-response","144","247883","0.0-1.0-1.71","../audio/teste-vocab--12.mp3","s","jaula","kaj"
